City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Richards Bay,ZA,2022-03-23 21:55:26,-28.783,32.0377,72.99,72,18,12.26
192,Santa Ana,US,2022-03-23 21:55:10,33.7456,-117.8678,91.96,18,0,12.66
193,Qaqortoq,GL,2022-03-23 21:55:26,60.7167,-46.0333,24.06,85,100,5.7
194,Pevek,RU,2022-03-23 21:55:27,69.7008,170.3133,16.66,85,100,5.14
195,Bilma,NE,2022-03-23 21:55:27,18.6853,12.9164,71.96,13,1,10.2
196,Kerrville,US,2022-03-23 21:55:27,30.0474,-99.1403,66.45,18,0,10.36
197,Buala,SB,2022-03-23 21:55:28,-8.145,159.5921,81.55,78,55,3.74
198,Avenal,US,2022-03-23 21:55:28,36.0041,-120.129,83.97,26,0,1.23
199,Kautokeino,NO,2022-03-23 21:55:28,69.0125,23.0412,22.48,90,100,13.62
200,Ixtapa,MX,2022-03-23 21:55:29,20.7,-105.2,86.43,21,30,7.38
201,Ukiah,US,2022-03-23 21:55:29,39.1502,-123.2078,83.44,33,0,8.05
202,Kodiak,US,2022-03-23 21:55:30,57.79,-152.4072,32.54,70,100,13.91
203,Miyako,JP,2022-03-23 21:55:30,39.6367,141.9525,38.05,84,100,3.31
204,Havre-Saint-Pierre,CA,2022-03-23 21:55:31,50.2334,-63.5986,35.96,44,0,18.41
205,Samarai,PG,2022-03-23 21:55:31,-10.6167,150.6667,82.78,77,30,9.22
206,Wewak,PG,2022-03-23 21:55:31,-3.5534,143.6268,79.74,84,100,4.12
207,Port Elizabeth,ZA,2022-03-23 21:55:32,-33.918,25.5701,67.1,89,100,11.5
208,Port Alfred,ZA,2022-03-23 21:55:32,-33.5906,26.891,72.03,82,97,13.09
209,Hervey Bay,AU,2022-03-23 21:55:32,-25.2986,152.8535,78.03,71,27,7.0
210,Pedernales,DO,2022-03-23 21:55:33,18.0384,-71.744,83.86,55,66,16.51
211,Hithadhoo,MV,2022-03-23 21:55:33,-0.6,73.0833,83.32,66,10,15.59
212,Portland,US,2022-03-23 21:50:59,45.5234,-122.6762,59.45,87,75,12.66
213,Te Anau,NZ,2022-03-23 21:55:34,-45.4167,167.7167,58.17,58,68,5.55
214,Cherskiy,RU,2022-03-23 21:55:34,68.75,161.3,12.11,94,99,0.96
215,Katsuura,JP,2022-03-23 21:55:35,35.1333,140.3,46.33,90,77,15.48
216,Rudbar,AF,2022-03-23 21:55:35,30.15,62.6,59.27,36,0,9.42
217,Rorvik,NO,2022-03-23 21:55:35,64.8621,11.2373,42.91,93,75,21.85
218,Karema,TZ,2022-03-23 21:55:36,-6.8205,30.4389,70.75,85,71,2.46
219,Balabac,PH,2022-03-23 21:55:37,7.9868,117.0645,80.91,80,20,7.14
220,Sungairaya,ID,2022-03-23 21:55:37,0.7,108.9,77.67,86,95,2.84
221,Ouadda,CF,2022-03-23 21:55:38,8.0777,22.4007,78.6,27,62,6.2
222,Nouakchott,MR,2022-03-23 21:55:38,18.0858,-15.9785,69.73,71,0,19.3
223,Namatanai,PG,2022-03-23 21:55:38,-3.6667,152.4333,81.9,77,100,5.97
224,Egvekinot,RU,2022-03-23 21:55:39,66.3167,-179.1667,13.53,69,71,1.43
225,Mocuba,MZ,2022-03-23 21:55:39,-16.8392,36.9856,69.91,98,8,1.41
226,Batemans Bay,AU,2022-03-23 21:55:39,-35.7167,150.1833,65.1,88,100,1.23
227,Xuddur,SO,2022-03-23 21:55:40,4.1213,43.8894,77.83,67,11,14.07
228,Touros,BR,2022-03-23 21:55:40,-5.1989,-35.4608,80.89,78,100,11.39
229,Bereda,ES,2022-03-23 21:55:41,43.2686,-7.5406,49.57,99,80,2.8
230,Road Town,VG,2022-03-23 21:55:41,18.4167,-64.6167,78.84,73,40,14.97
231,Mount Gambier,AU,2022-03-23 21:56:41,-37.8333,140.7667,51.71,87,100,1.14
232,Krasnoslobodsk,RU,2022-03-23 21:56:42,48.7072,44.5714,33.62,69,0,8.95
233,Bowmore,US,2022-03-23 21:56:43,34.9421,-79.3031,75.52,80,100,10.0
234,Kattivakkam,IN,2022-03-23 21:56:43,13.2167,80.3167,84.29,89,66,7.05
235,Srednekolymsk,RU,2022-03-23 21:56:44,67.45,153.6833,1.09,97,99,2.21
236,Zyukayka,RU,2022-03-23 21:56:44,58.2025,54.7003,32.22,90,100,8.75
237,Tuatapere,NZ,2022-03-23 21:56:44,-46.1333,167.6833,57.34,69,70,11.5
238,Synya,RU,2022-03-23 21:56:45,65.3718,58.0387,15.21,93,100,8.81
239,Altoona,US,2022-03-23 21:55:01,40.5187,-78.3947,43.23,91,100,11.34
240,Klaksvik,FO,2022-03-23 21:56:45,62.2266,-6.589,45.52,93,96,5.06
241,Banjar,ID,2022-03-23 21:56:46,-8.19,114.9675,78.19,93,100,1.21
242,Le Vauclin,MQ,2022-03-23 21:56:46,14.5452,-60.8388,78.84,78,75,13.8
243,Vao,NC,2022-03-23 21:56:46,-22.6667,167.4833,77.22,63,29,13.18
244,College,US,2022-03-23 21:56:47,64.8569,-147.8028,18.46,46,0,11.5
245,Sorong,ID,2022-03-23 21:56:47,-0.8833,131.25,78.06,85,100,4.41
246,Winnemucca,US,2022-03-23 21:56:47,40.973,-117.7357,65.35,31,0,8.16
247,Flinders,AU,2022-03-23 21:56:48,-34.5833,150.8552,66.18,85,100,4.0
248,Banamba,ML,2022-03-23 21:56:48,13.55,-7.45,86.2,14,32,7.74
249,Benguela,AO,2022-03-23 21:56:49,-12.5763,13.4055,79.12,85,100,1.81
250,Emba,KZ,2022-03-23 21:56:49,48.8264,58.1442,14.18,98,86,6.67
251,Sola,VU,2022-03-23 21:56:50,-13.8833,167.55,83.07,79,40,0.0
252,Severnyy,RU,2022-03-23 21:56:50,50.677,36.5532,37.44,81,0,4.47
253,Saldanha,ZA,2022-03-23 21:56:50,-33.0117,17.9442,66.25,88,36,19.66
254,Pucallpa,PE,2022-03-23 21:56:51,-8.3791,-74.5539,89.64,58,40,4.61
255,San Cristobal,VE,2022-03-23 21:56:51,7.7669,-72.225,78.98,41,41,1.86
256,Paratinga,BR,2022-03-23 21:56:51,-12.6906,-43.1842,81.18,54,67,5.66
